stage,claim_id,kind,claim,scope,period,evidence_ids
mandate,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
evidence,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
terms,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
credit,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
label,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
impact,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
market,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
valuation,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
valuation,CALC1,CALCULATION,"Recomputed illustrative bond_risk; inspect arguments, units and result in calculation C1.",FICTIONAL-SUBJECT,2026-09-24,
expression,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
stewardship,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
challenge,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
memo,A1,ASSUMPTION,"Fictional issuer: the bond label does not repair weaker refinancing coverage. Credit, allocation verification and spread comparability remain separate assessments.",FICTIONAL-SUBJECT,2026-09-24,
